x,y,z,qx,qy,qz,qw,speed
89651.400000,43174.800000,0.000000,0,0,-0.212259,0.977213,8.333330
89648.400000,43173.700000,0.000000,0,0,-0.195738,0.980656,8.333330
89646.100000,43171.900000,0.000000,0,0,-0.0527849,0.998606,8.333330
89645.200000,43169.700000,0.000000,0,0,0.141186,0.989983,8.333330
89645.700000,43166.600000,0.000000,0,0,0.351021,0.936368,8.333330
89647.200000,43164.300000,0.000000,0,0,-0.407181,0.913348,8.333330
89649.000000,43162.300000,0.000000,0,0,-0.201066,0.979578,8.333330
89651.800000,43161.100000,0.000000,0,0,0.424725,0.905322,8.333330
89654.500000,43159.900000,0.000000,0,0,0.112211,0.993684,8.333330
89657.500000,43159.600000,0.000000,0,0,-0.230744,0.973015,8.333330
89660.400000,43160.500000,0.000000,0,0,-0.323006,0.946397,8.333330
89662.400000,43162.300000,0.000000,0,0,-0.424476,0.905439,8.333330
89663.700000,43165.000000,0.000000,0,0,-0.509104,0.860705,8.333330
89665.200000,43167.800000,0.000000,0,0,-0.601335,0.798997,8.333330
89667.300000,43170.200000,0.000000,0,0,-0.706174,0.708039,8.333330
89670.300000,43170.900000,0.000000,0,0,-0.808032,0.589138,8.333330
89673.100000,43169.500000,0.000000,0,0,-0.885312,0.464997,8.333330
89675.500000,43167.600000,0.000000,0,0,-0.940498,0.339798,8.333330
89677.400000,43165.300000,0.000000,0,0,-0.97392,0.226892,8.333330
89678.900000,43162.700000,0.000000,0,0,-0.989185,0.146673,8.333330
89679.700000,43159.800000,0.000000,0,0,-0.706618,0.707595,8.333330
89679.700000,43156.900000,0.000000,0,0,-0.808087,0.589063,8.333330
89678.800000,43154.100000,0.000000,0,0,-0.996104,0.0881856,8.333330
89677.100000,43151.600000,0.000000,0,0,-0.940848,0.338829,8.333330
89674.800000,43149.700000,0.000000,0,0,-0.975,0.222206,8.333330
89672.100000,43148.400000,0.000000,0,0,-0.987919,0.154971,8.333330
89669.300000,43147.500000,0.000000,0,0,-0.99767,0.0682197,8.333330
89666.400000,43147.100000,0.000000,0,0,-0.995435,0.0954467,8.333330
89663.300000,43146.500000,0.000000,0,0,-0.99627,0.0862954,8.333330
89660.300000,43146.000000,0.000000,0,0,-0.92388,0.382683,8.333330
