x,y,z,qx,qy,qz,qw,speed
89629.900000,43168.300000,0.000000,0,0,0.563098,0.82639,1.555556
89628.100000,43170.700000,0.000000,0,0,0.328683,0.94444,1.555556
89626.200000,43172.900000,0.000000,0,0,0.129383,0.991595,1.555556
89623.900000,43175.000000,0.000000,0,0,-0.0738567,0.997269,1.555556
89621.600000,43176.900000,0.000000,0,0,-0.257591,0.966254,1.555556
89620.200000,43179.900000,0.000000,0,0,-0.307613,0.951512,1.555556
89620.500000,43182.800000,0.000000,0,0,-0.285239,0.958457,1.555556
89621.500000,43185.500000,0.000000,0,0,-0.163097,0.98661,1.555556
89623.900000,43187.400000,0.000000,0,0,-0.0102367,0.999948,1.555556
89626.700000,43188.200000,0.000000,0,0,0.0930897,0.995658,1.555556
89629.700000,43187.700000,0.000000,0,0,0.178075,0.984017,1.555556
89632.100000,43186.300000,0.000000,0,0,0.241111,0.970498,1.555556
89634.600000,43184.500000,0.000000,0,0,0.233975,0.972243,1.555556
89637.200000,43182.800000,0.000000,0,0,0.197508,0.980301,1.555556
89640.000000,43181.900000,0.000000,0,0,0.056364,0.99841,1.555556
89642.900000,43181.800000,0.000000,0,0,-0.145469,0.989363,1.555556
89645.800000,43182.400000,0.000000,0,0,-0.42261,0.906311,1.555556
89648.600000,43183.400000,0.000000,0,0,-0.61422,0.789135,1.555556
89651.300000,43184.800000,0.000000,0,0,-0.72301,0.690837,1.555556
89654.000000,43186.200000,0.000000,0,0,-0.883558,0.468321,1.555556
89656.700000,43187.300000,0.000000,0,0,-0.980175,0.198135,1.555556
89659.600000,43187.700000,0.000000,0,0,-0.997178,0.0750719,1.555556
89662.500000,43186.800000,0.000000,0,0,-0.997254,0.0740582,1.555556
89663.800000,43185.200000,0.000000,0,0,-0.999403,0.0345591,1.555556
89664.600000,43182.000000,0.000000,0,0,-0.98346,0.181125,1.555556
89664.500000,43179.300000,0.000000,0,0,-0.947133,0.320841,1.555556
89663.000000,43177.100000,0.000000,0,0,-0.835952,0.548803,1.555556
89660.200000,43175.900000,0.000000,0,0,-0.642321,0.766436,1.555556
89657.200000,43175.400000,0.000000,0,0,-0.476306,0.87928,1.555556
89654.300000,43175.000000,0.000000,0,0,-0.402601,0.915376,1.555556
89651.400000,43174.800000,0.000000,0,0,-0.212259,0.977213,1.555556
89648.400000,43173.700000,0.000000,0,0,-0.195738,0.980656,1.555556
89646.100000,43171.900000,0.000000,0,0,-0.0527849,0.998606,1.555556
89645.200000,43169.700000,0.000000,0,0,0.141186,0.989983,1.555556
89645.700000,43166.600000,0.000000,0,0,0.351021,0.936368,1.555556
89647.200000,43164.300000,0.000000,0,0,0.53549,0.844542,1.555556
89649.000000,43162.300000,0.000000,0,0,0.511028,0.859564,1.555556
89651.800000,43161.100000,0.000000,0,0,0.424725,0.905322,1.555556
89654.500000,43159.900000,0.000000,0,0,0.112211,0.993684,1.555556
89657.500000,43159.600000,0.000000,0,0,-0.230744,0.973015,1.555556
89660.400000,43160.500000,0.000000,0,0,-0.323006,0.946397,1.555556
89662.400000,43162.300000,0.000000,0,0,-0.424476,0.905439,1.555556
89663.700000,43165.000000,0.000000,0,0,-0.509104,0.860705,1.555556
89665.200000,43167.800000,0.000000,0,0,-0.601335,0.798997,1.555556
89667.300000,43170.200000,0.000000,0,0,-0.706174,0.708039,1.555556
89670.300000,43170.900000,0.000000,0,0,-0.808032,0.589138,1.555556
89673.100000,43169.500000,0.000000,0,0,-0.885312,0.464997,1.555556
89675.500000,43167.600000,0.000000,0,0,-0.940498,0.339798,1.555556
89677.400000,43165.300000,0.000000,0,0,-0.97392,0.226892,1.555556
89678.900000,43162.700000,0.000000,0,0,-0.989185,0.146673,1.555556
89679.700000,43159.800000,0.000000,0,0,-0.997181,0.07503,1.555556
89679.700000,43156.900000,0.000000,0,0,-0.996143,0.0877477,1.555556
89678.800000,43154.100000,0.000000,0,0,-0.996104,0.0881856,1.555556
89677.100000,43151.600000,0.000000,0,0,-0.919541,0.392995,1.555556
89674.800000,43149.700000,0.000000,0,0,-0.825807,0.563953,1.555556
89672.100000,43148.400000,0.000000,0,0,-0.795063,0.606527,1.555556
89669.300000,43147.500000,0.000000,0,0,-0.721723,0.692182,1.555556
89666.400000,43147.100000,0.000000,0,0,-0.667034,0.745027,1.555556
89663.300000,43146.500000,0.000000,0,0,-0.717595,0.69646,1.555556
89660.300000,43146.000000,0.000000,0,0,-0.771432,0.636312,1.555556
89658.200000,43143.900000,0.000000,0,0,-0.883,0.469374,1.555556
89657.000000,43140.800000,0.000000,0,0,-0.954609,0.29786,1.555556
89656.200000,43137.900000,0.000000,0,0,-0.997983,0.0634842,1.555556
89656.100000,43134.700000,0.000000,0,0,-0.999979,0.00641453,1.555556
89656.400000,43132.100000,0.000000,0,0,-0.999979,0.00641453,1.555556
89656.300000,43129.300000,0.000000,0,0,0.9622,0.272343,1.555556
